zip,donations,total,donations_per_1000
20684,75,3987.879999999999,18.806985165050108
20685,1045,30678.48999999994,34.06295420667713
20686,5,389.33,12.842575706983792
20687,7,244.3,28.653295128939828
20688,2245,37209.47999999994,60.33408690473513
20689,49,2773.0099999999993,17.670329353302012
20690,735,14588.270000000004,50.38294465347843
20692,20,1091.63,18.321226056447696
20693,52,1714.5400000000006,30.328834556207486
20695,426,14520.069999999992,29.338701535185454
20701,15,1439.86,10.417679496617726
20703,36,1705.4399999999998,21.108922037714606
20705,805,22559.73999999999,35.68303535413087
20706,1107,29126.840000000055,38.00618261369918
20707,1548,34556.44999999992,44.79626813518182
20708,789,54085.47,14.588021514835685
20709,7,876.03,7.99059392943164
20710,72,2001.2699999999995,35.977154506888134
20711,727,37307.29999999996,19.4868028509166
20712,173,4516.9000000000005,38.30060439682082
20714,382,12063.769999999988,31.665059927369338
20715,4184,142469.33000000103,29.36772426739123
20716,1680,27480.630000000012,61.13396963606727
20717,1,26.03,38.417210910487896
20718,1,24.98,40.0320256204964
20720,1111,34529.47999999995,32.1754049003924
20721,535,14887.369999999986,35.93650188045306
20722,233,3351.6400000000003,69.51820601257891
20723,1100,43215.24999999997,25.453977473229955
20724,696,11786.809999999992,59.04905568173242
20725,12333,55055.410000000214,224.01068305548813
20726,8,423.17,18.90493182408961
20732,1193,30932.33999999991,38.56804884467206
20733,781,35883.32,21.76498718624698
20735,1180,22491.139999999927,52.465104036523
20736,765,36527.33999999994,20.943216779541057
20737,225,5443.21,41.33590289553407
20738,9,132,68.18181818181817
20740,1193,56220.70999999998,21.219938346563048
20741,34,671.36,50.64346997140133
20742,1,1,1000
20743,183,4492.559999999999,40.734013569100924
20744,2353,35052.24999999999,67.12835837927666
20745,1032,53411.80999999974,19.321569518052375
20746,140,2967.6399999999994,47.17553342049575
20747,375,12687.24,29.557255951649058
20748,653,14587.360000000004,44.764782661153205
20749,83,79.14999999999999,1048.6418193303855
20750,4,102.06,39.19263178522438
20751,672,10915.30000000001,61.564959277344585
20753,7,250.49,27.945227354385402
20754,1336,44534.28999999998,29.99935555276621
20755,167,4977.139999999996,33.55340617302309
20757,6,153.85,38.99902502437439
20758,135,4327.030000000003,31.199229032384775
20759,1027,36052.18999999997,28.48648029426231
20760,3,30.82,97.3393900064893
20762,48,14706.78,3.263800777600535
20763,71,3276.5099999999993,21.669398231655027
20764,462,12968.499999999998,35.62478312834947
20765,522,6221.2599999999975,83.90583258053839
20768,8,446.61,17.912720270482076
