zip,donations,total,donations_per_1000
20781,5853,231033.8899999996,25.333945595600756
20782,12863,595571.0799999984,21.597757903221282
20783,5720,339753.4999999998,16.83573531987162
20784,5749,90245.51000000014,63.70400034306406
20785,11413,374647.23999999976,30.46332331181729
20786,52,2143.299999999999,24.26165259179771
20787,24,339,70.79646017699115
20788,2,20,100
20790,2,1760,1.1363636363636362
20791,70,2046.19,34.209921854764225
20792,210,9272.24,22.648248966808453
20794,2890,65081.25000000002,44.40603092288484
20795,77,1970,39.08629441624366
20796,3,102,29.41176470588235
20797,2,28,71.42857142857143
20798,7,89,78.65168539325842
20801,6,1104,5.434782608695652
20802,47,1088.26,43.18820870012681
20803,14,140,100
20804,15,607,24.711696869851732
20805,125,6799.7,18.383163963116022
20806,24,436,55.04587155963303
20807,7,121,57.85123966942149
20810,19,2173,8.743672342383801
20812,416,82029.63,5.071338246923703
20813,8,280,28.57142857142857
20814,54366,3840965.980000051,14.154251894727606
20815,77637,9090681.019999975,8.540284256943405
20816,35071,3206491.790000002,10.937498767149496
20817,65357,5935171.610000005,11.011813018158028
20818,3976,339569.6300000002,11.708938752856072
20820,1,20,50
20822,1,5,200
20823,2,50,40
20824,474,28802.58,16.45685907304137
20825,553,11115.52,49.75025909719023
20826,27,1062,25.423728813559325
20827,182,12166.57,14.959022962100248
20828,2,12,166.66666666666666
20830,139,1310,106.10687022900764
20832,15646,505974.4099999999,30.922512464612595
20833,4572,170021.89000000042,26.890655079766425
20834,29,915,31.69398907103825
20835,41,413,99.27360774818402
20836,32,871.25,36.72883787661406
20837,4684,155442.2500000004,30.13337750836718
20838,448,18843.38,23.774927852646393
20839,462,11704.82,39.47091881805957
20840,21,105,200
20841,4010,161266.3100000001,24.865701955975783
20842,978,55610.65,17.586559409034063
20844,47,1252.5,37.5249500998004
20845,2,100,20
20847,11,529,20.793950850661627
20848,42,757.49,55.4462765185019
20849,375,4026.31,93.13738882500354
20850,45289,1625183.4800000193,27.867007360916233
20851,5030,158464.17000000016,31.742191310502523
20852,48307,1984718.029999996,24.33947758312051
20853,19911,556389.1599999968,35.78610338130979
20854,55150,4750407.080000008,11.609531366730765
20855,10620,442482.6699999997,24.0009399690162
20856,15,782,19.18158567774936
20858,7,92,76.08695652173914
20859,329,43985.94,7.47966281952824
20860,4148,138927.70000000022,29.857256688191008
20861,2729,124085.48999999998,21.992901829214684
20862,260,16786.32,15.488802787031345
20864,52,1064,48.87218045112782
20865,38,1886,20.148462354188762
20866,6180,175550.99000000046,35.20344715800226
20867,14,1045,13.397129186602871
20868,451,11939.11,37.77501003006087
20869,7,305,22.950819672131146
20870,9,450,20
20871,8598,204083.8700000006,42.12973813168074
20872,7302,125311.22000000012,58.270919395725244
20873,6,225,26.666666666666668
20874,22381,527915.7199999968,42.39502472099171
20875,256,7279.070000000001,35.169327949861724
20876,9660,214333.4300000004,45.069964120855914
20877,15286,371444.01,41.152904848297325
20878,41096,1313016.679999994,31.29891693378959
20879,10054,219295.58000000264,45.84679727698971
20880,1356,52557.24000000001,25.80044157569917
20882,8651,261341.96000000025,33.10222361537348
20883,100,50776.7,1.9694072281184085
20884,42,388,108.24742268041237
20885,98,2054.08,47.709923664122144
20886,16207,362243.20999999874,44.7406591830943
20887,32,455,70.32967032967034
20889,2,28,71.42857142857143
20892,5,500,10
20893,39,539,72.35621521335807
20894,13,230,56.52173913043478
20895,26497,1347975.3600000064,19.65688749681587
20896,1962,161566.2600000002,12.143624541411043
20897,9,58,155.17241379310346
20898,42,481.23,87.27635434199863
20899,30,3050,9.836065573770492
20901,42989,1309525.8700000062,32.827911983136154
20902,29875,1073108.0000000023,27.83969553856642
20903,6587,250580.09999999992,26.28700363676127
20904,41324,1477418.6700000064,27.970405978421688
20905,12733,509001.05000000366,25.015665488312663
20906,54095,1138991.140000007,47.49378471899234
20907,244,4264.09,57.22205675771384
20908,26,583,44.59691252144082
20910,60712,2979373.470000009,20.377438616314127
20911,104,1824.23,57.01035505391316
20912,38778,1936275.090000004,20.02711298630605
20913,335,55972.77,5.985053089207485
20914,309,7685.58,40.205163435941074
20915,29,3230,8.978328173374612
20916,797,5998.530000000001,132.86588547527475
20917,23,1278.11,17.995321216483713
20918,9,326,27.607361963190183
20919,5,22,227.27272727272725
20920,37,1202.4000000000003,30.771789753825672
20922,1,250,4
20923,16,527.75,30.317385125532923
20925,3,150,20
20932,10,172,58.13953488372093
20939,24,152,157.89473684210526
20941,1,25,40
20950,294,5786.439999999999,50.808441805324186
20952,11,148,74.32432432432432
20953,258,5330.93,48.39680881197089
20954,129,1389.7999999999993,92.81911066340486
20960,3,215,13.953488372093023
20966,1,10,100
20971,8,101.17,79.07482455273303
20972,1,69.96,14.293882218410522
20974,19,2103,9.03471231573942
20976,1,10,100
20977,1,100,10
20978,18,547.8199999999999,32.857507940564425
20979,3,17,176.47058823529412
20984,1,10,100
20985,2,105,19.04761904761905
20986,16,98,163.26530612244898
20991,128,1591.3000000000002,80.43737824420285
20992,33,642,51.401869158878505
20993,1,100,10
20994,21,895,23.463687150837988
20995,10,287.20000000000005,34.81894150417827
20996,31,991.72,31.258823054894524
20997,4,30,133.33333333333334
21001,9185,126335.17999999996,72.70342275207905
21002,4,79,50.63291139240506
21005,1513,7449.8,203.09270047518055
21006,2,50,40
21008,6,185,32.432432432432435
21009,5538,94785.23000000004,58.42682451685772
21010,1196,18019.26,66.37342487982303
21012,11344,448162.7999999995,25.312230287743677
21013,1809,42460.45999999997,42.60434295813096
21014,9571,216782.57000000024,44.15022849853652
21015,7969,198034.8099999996,40.24040015995176
21016,18,163.71999999999997,109.94380649890059
21017,1139,18434.4,61.78665972312632
21018,1,25,40
21019,4,675,5.925925925925926
21020,38,527,72.10626185958255
21021,2,105,19.04761904761905
21022,147,3757.27,39.12415131198983
21023,188,7414.900000000003,25.354354070857315
21024,4,140,28.57142857142857
21025,4,255,15.686274509803921
21027,8,300,26.666666666666668
21028,777,21243.45,36.57597989027206
21029,5070,334097.2100000004,15.175224001421604
21030,9939,375350.1199999992,26.479277534265933
21031,10,589.24,16.971013508926752
21032,5033,231805.08,21.71220751503807
21033,43,1582,27.18078381795196
21034,608,23530.29,25.839035557997796
21035,6200,200449.85000000024,30.930429730927674
21036,1189,69995.87,16.986716501987907
21037,9471,376584.1499999987,25.149757364987433
21039,9,822,10.948905109489052
21040,2305,33320.56,69.17650843803345
21041,132,2730.9100000000003,48.3355365061463
21042,28455,1050627.5999999992,27.083811618883818
21043,20844,686790.2499999983,30.349877564511225
21044,44569,1337506.6200000034,33.3224518918642
21045,30660,803755.2300000013,38.1459415200321
21046,11234,309389.19999999896,36.31025258800254
21047,2633,69101.56999999999,38.103331082057906
21048,2073,66157.87999999996,31.33413585804142
21049,1,3,333.3333333333333
21050,3563,70752.11000000012,50.3589221579398
21051,461,25766.14,17.891698174425816
21052,16,551,29.038112522686024
21053,776,14091.339999999998,55.06928368771175
21054,5833,159548.24000000028,36.55947567958123
21055,1,500,2
21056,98,38413,2.551219639184651
21057,2464,65720.03000000001,37.49237485132005
21059,10,56,178.57142857142858
21060,14209,173872.13999999993,81.7209703636247
21061,10219,168692.45000000004,60.5776962750852
21062,126,856.5,147.11033274956216
21064,32,688,46.51162790697674
21065,1,100,10
21067,1,100,10
21069,15,126,119.04761904761904
21071,287,8471.130000000001,33.879777550338616
21073,2,20,100
21074,2983,55540.70000000002,53.708361615896074
21075,8984,224807.71000000037,39.963042192814406
21076,6352,235382.90000000017,26.98581757638297
21077,85,1464.38,58.04504295333178
21078,7808,212588.47000000053,36.72823836589059
21079,3,175,17.142857142857142
21080,2,20,100
21082,459,13343.93,34.39766245776169
21083,10,275,36.36363636363636
21084,1638,29954.660000000036,54.68264370218183
21085,2745,55980.65999999996,49.03479165840492
21086,3,87,34.48275862068965
21087,656,20466.26,32.052754142671894
2109,2,105,19.04761904761905
21090,1933,50232.64000000004,38.48095580881272
21092,4,74.96000000000001,53.36179295624333
21093,22218,633944.1899999967,35.04724919081618
21094,40,17794.12,2.2479335870501043
21096,2,100,20
21099,3,50,60
21101,72,1499.5600000000002,48.01408413134519
21102,3317,51923.16000000006,63.88286075038568
21103,2,11,181.8181818181818
21104,4210,99374.20000000011,42.365120926759616
21105,28,267,104.86891385767791
21106,26,1213.24,21.430219907025815
21107,2,35,57.14285714285714
21108,6603,220072.7800000001,30.003710590650954
21109,1,40.48,24.70355731225297
21111,3969,93046.8800000003,42.65591710329231
21112,1,25,40
21113,16279,444059.96000000014,36.65946373548292
21114,8848,236144.47000000044,37.46858861441889
21115,5,108,46.29629629629629
21116,21,1380.24,15.214745261693619
21117,23052,657696.399999998,35.04960647496332
21118,6,123,48.78048780487805
21120,2596,77234.65999999997,33.61185250249047
21121,2,53,37.73584905660377
21122,9609,221055.7499999993,43.46867249551315
21123,59,1086.37,54.309305301140505
21124,3,240,12.5
21127,7,283,24.734982332155475
21128,1908,49255.92999999999,38.736452646412324
21130,7,225,31.11111111111111
21131,2873,130327.89000000012,22.044398938707573
21132,185,6295.84,29.38448245190475
21133,8682,146954.52000000025,59.079502964590574
21134,21,552,38.04347826086957
21135,1,100,10
21136,11483,323548.850000002,35.49077674051362
21137,2,20,100
21139,580,10016.789999999995,57.90278123031433
